Year,Alaska,Hawaii,Midwest,Northeast,Northern Great Plains,Northwest,Southeast,Southern Great Plains,Southwest
1999,-8.47,-999.0,18.35,19.3,14.1,23.34,38.32,34.48,25.43
2000,-2.07,-999.0,17.92,17.91,15.38,25.08,35.43,34.43,26.76
2001,8.5,-999.0,11.07,15.16,7.39,21.72,32.44,30.25,24.25
2002,-0.6,-999.0,21.46,22.77,13.25,22.13,36.12,31.84,23.39
2003,7.53,-999.0,13.51,13.43,12.27,26.5,32.86,31.46,27.02
2004,-2.1,-999.0,15.53,14.45,11.81,23.8,32.95,31.98,24.53
2005,0.83,-999.0,17.36,16.6,13.3,24.15,36.74,34.7,27.93
2006,0.43,-999.0,18.9,19.82,14.73,22.85,34.92,31.76,25.07
2007,-0.3,-999.0,16.43,18.47,11.0,22.1,35.47,31.18,23.25
2008,-3.87,-999.0,13.26,18.63,8.3,21.17,36.31,31.02,23.05
2009,-3.87,-999.0,10.75,15.06,8.75,21.35,34.7,31.38,25.4
2010,1.07,-999.0,13.46,18.72,7.4,23.97,31.54,28.76,23.8
2011,-3.63,-999.0,12.65,15.41,7.98,22.69,31.91,29.25,24.6
2012,-4.17,-999.0,21.1,21.94,14.08,22.29,38.17,33.88,24.35
2013,-1.4,-999.0,17.37,20.36,11.88,22.13,38.14,32.84,22.23
2014,4.13,-999.0,6.62,13.83,6.47,22.24,32.73,28.09,25.38
2015,5.37,-999.0,13.3,12.86,13.35,27.98,33.45,32.33,29.09
2016,8.03,-999.0,21.2,22.63,16.31,25.29,38.61,34.0,25.52
2017,-1.33,-999.0,20.36,22.14,10.33,19.03,40.5,35.55,27.09
2018,6.5,-999.0,13.52,17.24,8.18,23.98,36.57,30.63,26.29
2019,3.97,-999.0,15.27,18.1,8.26,22.07,39.01,33.07,24.75
2020,-6.17,-999.0,18.95,21.51,13.46,24.72,39.54,33.77,26.12
2021,0.83,-999.0,15.91,20.35,12.03,23.78,34.94,29.99,24.52
