Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1924,-999.0,35.83,32.13,28.77,32.53,11.47,19.0,27.23,47.9,36.2,-999.0,12.9,15.43,20.53,21.3,19.27,26.77,41.13,17.43,26.73,6.27,12.63,2.47,22.43,36.43,11.47,30.67,3.47,12.57,9.47,23.73,20.5,18.63,14.37,22.03,27.67,23.8,20.3,20.57,34.6,7.77,29.17,34.07,15.7,26.83,7.8,25.47,7.27,23.63,8.33
1925,-15.25,37.87,31.33,27.23,33.5,9.33,17.9,26.8,50.7,38.47,-999.0,9.5,16.07,18.3,19.6,16.47,26.87,41.57,16.43,25.57,2.47,9.57,-2.2,20.67,37.27,9.57,32.2,-1.63,10.67,7.23,22.37,18.77,19.77,12.1,20.13,25.57,24.5,18.2,19.83,36.67,5.23,30.2,33.37,13.57,27.07,5.87,24.87,4.17,23.27,10.13
1926,0.1,34.63,31.3,28.97,34.17,13.9,18.23,25.47,46.13,35.77,-999.0,14.13,20.03,20.67,20.67,22.33,25.57,39.33,16.7,25.03,4.6,12.33,3.63,23.73,35.17,18.1,30.63,8.13,17.53,8.4,22.1,20.2,22.67,12.63,20.03,28.47,27.6,18.5,19.57,34.83,11.93,28.5,33.6,19.13,26.1,6.8,29.9,6.4,22.33,13.47
1927,-2.9,40.6,34.53,32.17,34.53,13.97,17.2,25.83,49.9,39.97,-999.0,14.07,17.7,21.33,22.07,21.23,29.17,46.5,15.83,25.73,5.07,11.63,0.43,24.13,41.27,9.13,33.73,0.77,14.57,8.2,21.83,24.47,22.07,12.43,22.37,29.8,25.47,19.27,18.8,38.63,8.93,32.83,37.63,19.37,28.53,6.5,24.2,5.43,25.7,10.53
1928,0.97,34.07,30.63,28.93,32.83,11.33,19.1,25.7,45.9,34.67,-999.0,12.77,13.33,20.07,20.37,18.73,25.13,39.47,18.47,25.5,5.83,12.33,-0.53,21.93,34.8,6.3,29.53,-0.63,11.8,10.9,22.77,20.37,19.27,14.43,20.87,27.23,22.67,19.53,20.7,33.27,5.47,27.47,34.07,17.03,25.97,9.17,22.43,5.13,22.5,7.53
1929,4.23,34.57,27.8,27.1,30.3,7.57,18.67,24.67,48.8,36.5,-999.0,6.23,6.9,15.37,16.87,16.43,23.47,38.8,17.77,24.17,6.77,8.93,-4.03,17.57,34.17,1.8,30.3,-5.2,8.0,10.03,22.43,18.77,16.13,14.33,18.13,24.6,17.13,18.33,20.43,35.03,1.23,27.27,32.33,12.17,24.87,8.7,16.67,0.33,20.5,2.57
1930,-5.27,35.43,31.87,30.03,35.17,11.3,19.3,27.43,48.03,36.0,-999.0,12.43,15.4,20.3,21.97,18.9,28.67,40.8,18.17,26.6,3.57,12.33,0.77,22.3,36.67,7.9,31.63,0.5,12.87,9.37,23.2,20.33,21.7,14.23,23.17,26.5,23.13,20.73,20.87,35.67,8.1,30.37,33.5,16.63,28.0,7.97,20.83,6.47,25.23,8.93
1931,2.57,33.8,32.2,28.93,33.27,12.43,18.0,25.9,44.1,33.77,-999.0,19.03,12.37,24.4,24.1,23.87,27.47,39.33,16.63,25.57,6.23,16.67,10.6,26.2,35.07,17.7,28.63,12.83,19.33,9.33,22.83,20.77,19.37,13.67,23.47,30.97,23.6,19.9,20.17,32.33,16.77,28.77,36.3,14.37,25.83,7.03,26.37,14.6,23.1,10.8
1932,-10.6,44.03,37.83,27.13,31.47,11.3,23.77,32.83,55.47,44.6,-999.0,18.33,10.47,28.47,29.17,24.0,34.93,48.17,22.03,32.73,9.17,20.9,6.73,29.83,44.33,9.97,38.33,3.77,15.2,14.03,29.13,21.0,15.6,20.13,29.63,33.07,20.97,27.03,25.17,42.77,8.93,37.4,38.87,12.23,34.0,13.77,21.6,14.17,31.1,6.87
1933,-7.93,39.33,32.3,23.73,28.53,6.53,22.33,28.73,51.13,40.57,-999.0,13.53,8.5,21.5,22.6,17.63,28.33,43.37,21.03,27.97,11.5,13.97,-0.4,23.17,38.8,6.83,34.53,-0.27,10.97,15.2,25.3,16.73,11.13,18.37,23.17,27.33,18.6,21.67,24.17,38.93,6.37,31.27,34.6,7.8,29.23,14.7,20.3,6.9,24.1,4.03
