Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1919,-999.0,79.03,79.07,77.33,72.47,65.13,67.63,72.4,80.03,78.27,-999.0,72.9,63.47,74.93,74.33,76.17,75.97,80.7,66.9,72.57,63.13,68.07,67.47,76.23,79.93,66.23,75.0,68.9,72.6,64.73,70.23,69.9,70.7,66.73,72.6,79.17,62.17,69.13,67.17,77.7,71.03,76.63,79.13,69.87,72.67,64.2,60.87,68.2,70.93,64.77
1920,-999.0,77.97,76.5,76.1,71.53,62.73,67.0,72.2,79.53,78.07,-999.0,70.0,61.73,72.2,70.8,73.77,72.53,79.73,66.37,71.77,63.17,64.27,65.3,73.57,78.5,63.13,74.3,66.53,69.9,64.03,70.07,69.37,68.17,65.1,69.1,77.2,61.57,67.13,66.77,77.9,67.93,73.97,79.4,67.23,71.2,63.6,61.8,65.37,68.53,60.8
1921,-999.0,80.77,80.17,76.63,72.47,64.0,68.2,73.57,80.17,79.33,-999.0,74.2,62.7,76.07,75.6,76.8,77.0,81.6,67.23,73.57,63.6,69.47,69.33,77.47,81.37,64.7,76.07,68.97,73.1,64.7,71.2,69.53,70.27,67.47,73.1,79.73,61.8,69.33,67.23,78.8,72.4,77.63,80.97,68.1,73.5,64.83,61.33,70.43,71.27,63.27
1922,-999.0,79.03,79.03,78.2,72.87,65.67,67.87,72.87,79.7,78.57,-999.0,71.77,63.8,73.8,72.67,76.9,74.57,80.63,66.97,72.93,63.0,65.43,66.77,76.17,79.63,64.17,75.1,66.73,72.6,64.23,70.67,72.6,69.83,65.63,70.6,80.57,63.3,68.17,67.17,78.1,69.87,75.47,81.77,69.2,72.33,63.9,63.63,66.47,69.83,63.27
1923,-999.0,77.93,78.93,75.13,69.7,63.43,67.17,72.83,79.6,78.17,-999.0,72.0,61.3,73.9,72.47,76.1,74.53,80.03,65.8,73.23,60.27,65.6,67.3,75.93,78.63,63.03,75.9,66.63,71.0,62.13,70.5,70.8,66.47,64.87,70.73,81.0,61.3,68.07,66.0,78.33,69.03,75.27,81.77,66.43,73.1,61.8,62.33,67.63,69.93,62.03
1924,-999.0,80.23,79.4,78.13,72.03,64.13,67.13,71.5,81.27,80.03,-999.0,68.7,61.2,71.17,70.63,75.8,73.9,82.67,66.13,71.7,61.8,62.77,63.13,73.97,81.37,60.37,75.4,62.7,69.7,62.8,69.3,72.13,69.1,64.17,69.3,80.93,61.33,66.5,66.43,79.03,66.4,76.0,82.77,68.4,72.0,62.23,61.7,63.37,69.17,60.7
1925,50.43,80.87,80.67,76.57,72.2,64.07,68.67,74.1,80.3,80.63,-999.0,71.57,62.1,74.2,73.27,77.7,75.63,81.97,67.47,73.83,62.2,65.87,65.77,76.57,81.13,62.67,76.73,65.37,71.93,63.6,71.43,70.9,68.23,65.87,71.4,81.93,62.17,68.4,67.9,80.33,69.13,77.6,82.87,67.1,73.83,63.17,62.63,66.6,70.63,61.4
1926,52.53,78.9,78.43,77.5,73.83,64.1,66.73,72.37,80.03,78.9,-999.0,70.73,63.53,72.73,71.83,76.5,74.2,80.8,65.2,72.2,60.63,63.7,64.53,75.0,79.87,63.1,76.3,65.43,71.73,61.77,69.27,70.33,70.97,64.0,70.17,78.63,63.77,67.13,65.53,79.37,69.23,75.6,80.3,68.9,73.0,61.2,63.37,64.57,69.67,62.13
1927,51.17,78.87,76.8,76.63,71.83,62.33,65.23,69.63,81.17,78.27,-999.0,68.3,61.8,69.63,68.5,72.83,71.43,80.87,64.53,69.5,60.33,62.03,62.93,71.9,79.47,60.93,73.27,63.4,68.43,61.33,67.5,70.37,68.93,62.53,66.83,77.43,62.0,64.87,65.03,76.7,66.0,73.77,81.27,67.6,70.0,60.6,62.4,62.9,66.87,60.0
1928,49.47,78.97,77.97,77.2,72.1,62.1,68.27,73.63,80.1,78.47,-999.0,69.7,60.6,71.93,70.8,73.23,73.73,80.97,67.33,73.03,62.4,64.2,64.13,73.5,80.0,59.97,75.83,63.3,69.07,64.33,71.1,70.43,68.53,65.83,70.07,78.3,61.53,68.33,67.87,78.37,67.17,75.27,81.5,67.03,72.97,63.9,61.97,64.8,69.87,59.1
