Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1943,5.431,0.526,18.447,0.138,0.286,0.0,-999.0,15.844,4.235,0.0,2.271,2.254,0.795,8.712,1.22,27.321,0.0,0.0,0.166,0.035,0.065,21.181,5.323,0.052,1.754,0.126,0.0,1.986,0.374,0.674,3.487,0.333,0.483,25.933,0.0,0.001,0.0,15.453,0.252,5.175,20.276,1.076,1.0,0.799,0.009,0.0,0.542,0.0,0.0,-999.0,-999.0,
1944,3.633,0.451,12.037,0.135,0.004,0.0,-999.0,17.097,3.473,0.0,2.176,2.172,2.05,4.668,1.498,23.866,0.0,0.0,0.662,0.281,0.627,10.094,2.033,0.009,1.77,0.126,0.0,0.372,0.284,1.549,2.595,0.056,0.367,13.534,0.0,0.199,0.0,12.019,0.691,3.13,18.512,1.142,0.0,0.401,0.009,0.0,1.042,0.0,0.0,-999.0,-999.0,
1945,2.515,0.116,8.05,0.159,0.074,0.0,-999.0,29.796,1.242,0.01,1.362,0.833,0.891,2.686,1.056,21.462,0.0,0.0,0.038,0.144,0.065,8.427,1.964,0.009,1.442,0.126,0.0,1.148,0.284,0.524,2.859,0.0,0.206,5.926,0.0,0.399,0.0,14.267,0.46,1.402,17.474,1.088,0.0,0.331,0.009,0.119,0.172,0.0,0.0,-999.0,-999.0,
1946,0.879,0.298,6.897,0.134,0.004,0.0,-999.0,12.714,1.176,0.429,0.908,1.93,0.605,6.868,0.108,18.486,0.0,0.0,0.038,0.329,0.193,7.641,3.838,0.009,1.198,0.126,0.0,0.372,0.622,0.434,1.763,0.0,0.097,12.612,0.0,0.001,0.0,7.74,0.441,1.14,19.701,1.326,0.0,0.238,0.009,0.0,0.156,0.0,0.0,-999.0,-999.0,
1947,2.096,0.673,8.873,0.085,0.055,0.0,-999.0,19.411,3.669,0.143,2.484,1.816,2.938,5.243,0.597,27.312,0.0,0.0,0.038,0.515,1.559,12.51,2.087,0.009,2.74,0.126,0.0,0.718,0.603,0.805,1.056,0.667,0.261,-999.0,0.0,0.001,0.0,8.828,2.732,2.195,17.593,1.482,0.5,0.115,0.007,0.0,1.83,0.0,0.0,-999.0,-999.0,
1948,1.519,0.831,4.989,0.077,0.055,0.0,-999.0,18.547,2.129,0.0,0.666,0.436,1.153,2.009,0.591,23.637,0.0,0.0,1.79,0.399,0.298,8.482,0.528,0.005,0.842,0.126,0.042,1.208,2.648,1.162,2.255,0.003,0.167,10.693,0.0,0.001,0.0,13.154,0.427,1.407,24.4,1.163,1.0,0.15,0.011,0.0,0.81,0.0,0.0,-999.0,-999.0,
1949,4.043,1.251,5.901,0.128,0.004,0.0,-999.0,17.596,2.201,0.001,1.892,2.211,1.209,2.389,0.472,16.313,0.25,0.0,0.038,0.126,1.008,9.712,1.016,0.066,0.501,0.126,0.0,2.33,0.464,1.47,2.361,0.056,0.57,9.578,0.0,0.6,0.0,11.975,1.022,1.2,14.881,1.628,0.0,0.761,0.007,0.0,0.622,0.0,0.0,-999.0,-999.0,
1950,0.698,0.448,2.955,0.226,0.145,0.0,-999.0,13.088,1.42,0.0,1.023,0.433,0.268,2.005,0.108,8.004,0.0,0.0,0.001,0.013,0.054,5.901,1.185,0.009,0.546,0.126,0.0,0.471,0.326,0.464,1.085,0.0,0.022,1.496,0.0,0.001,0.0,10.297,0.243,0.891,10.302,0.978,0.086,0.115,0.007,0.0,0.07,0.0,0.0,-999.0,-999.0,
1951,5.371,0.391,10.551,0.07,0.004,0.0,-999.0,20.167,4.208,0.0,0.996,0.453,0.541,2.614,0.108,26.897,0.0,0.0,0.001,0.079,0.054,11.758,2.302,0.009,0.425,0.126,0.0,0.569,0.757,0.434,1.913,0.0,0.135,22.619,0.0,0.001,1.0,10.824,0.206,1.966,31.285,1.144,0.0,0.15,0.009,0.0,0.06,0.0,0.0,-999.0,-999.0,
1952,7.171,0.345,12.06,0.163,0.055,0.0,-999.0,14.338,9.435,0.0,5.424,3.093,1.776,11.019,4.401,17.677,0.0,0.0,0.001,0.508,0.217,12.328,5.669,0.009,1.688,0.126,0.0,2.144,0.757,1.192,4.22,0.0,0.852,36.912,0.0,1.296,0.0,19.107,0.542,4.656,25.005,1.394,0.0,1.412,0.009,0.6,0.352,0.0,0.0,-999.0,-999.0,
1953,2.811,0.909,12.688,0.07,0.055,0.0,-999.0,13.195,3.335,0.0,4.192,1.839,1.858,6.707,1.069,12.891,0.0,0.0,0.333,0.317,0.589,15.301,5.382,0.009,1.881,0.126,0.0,1.014,2.444,1.247,1.8,0.0,0.275,23.092,0.0,0.001,0.0,11.661,0.96,2.782,26.407,1.6,0.0,0.541,0.009,0.156,0.756,0.0,0.0,-999.0,-999.0,
1954,9.213,0.41,20.182,0.09,0.618,0.0,-999.0,18.137,6.073,0.0,2.995,1.842,1.857,12.233,2.901,16.925,0.0,0.0,0.001,0.063,0.245,19.212,9.617,0.009,1.487,0.126,0.0,0.73,0.464,0.464,2.372,0.111,0.082,38.388,0.0,0.199,0.0,15.508,0.202,4.542,23.548,1.679,0.0,0.576,0.009,0.0,0.041,0.0,0.0,-999.0,-999.0,
1955,0.933,0.451,6.148,0.168,0.004,0.0,-999.0,12.432,0.504,0.0,3.174,1.493,5.784,6.264,0.108,10.594,0.0,0.0,1.002,0.597,1.328,7.299,2.892,0.096,4.409,0.228,0.0,4.221,0.326,1.967,1.707,0.056,0.39,6.986,0.0,0.001,0.0,11.504,2.953,1.815,15.418,1.166,0.0,0.546,0.008,0.2,1.142,0.0,0.0,-999.0,-999.0,
1956,0.622,0.373,8.512,0.132,0.004,0.0,-999.0,7.51,0.406,0.0,1.161,0.846,0.787,5.18,0.108,6.456,0.0,0.0,0.001,0.026,0.081,8.116,3.631,0.009,0.79,0.213,0.0,1.049,0.892,0.835,1.346,0.056,0.312,23.341,0.0,0.001,0.0,9.486,0.343,1.663,23.497,1.48,0.0,0.115,0.008,0.0,0.07,0.0,0.0,-999.0,-999.0,
1957,0.983,0.936,8.091,0.092,0.004,0.0,-999.0,17.442,1.865,0.0,1.042,0.187,1.413,4.492,0.108,16.581,0.0,0.0,0.001,0.101,0.282,11.001,2.325,0.052,0.948,0.126,0.0,0.68,0.87,0.584,1.829,0.111,0.021,13.036,0.0,0.001,0.0,10.996,0.705,0.825,21.097,1.714,0.0,0.681,0.009,0.0,0.126,0.0,0.0,-999.0,-999.0,
1958,1.569,0.464,7.794,0.127,0.004,0.0,-999.0,19.836,1.592,0.0,0.492,0.231,0.227,2.549,0.253,15.803,0.0,0.0,0.667,0.011,0.162,9.364,1.384,0.009,0.399,0.213,0.0,0.421,0.712,0.49,2.572,0.0,0.06,11.391,0.0,0.001,0.0,13.358,0.581,1.914,21.53,1.541,0.0,0.041,0.081,0.0,0.039,0.0,0.0,-999.0,-999.0,
1959,0.803,0.261,6.21,0.216,0.113,0.0,-999.0,8.972,0.725,0.0,1.753,1.123,0.99,3.56,0.108,7.673,0.0,0.0,0.166,0.928,0.36,5.6,1.338,0.009,1.023,0.126,0.0,1.224,0.284,1.306,1.759,0.056,0.344,4.45,0.083,0.001,0.0,10.379,0.589,0.663,10.418,1.87,0.0,0.401,0.081,0.0,0.622,0.0,0.0,-999.0,-999.0,
1960,0.852,0.373,7.494,0.306,0.106,0.0,-999.0,12.301,0.968,0.0,0.576,0.288,0.37,2.198,0.306,11.562,0.0,0.0,0.501,0.03,0.094,6.446,1.278,0.139,0.395,0.126,0.0,0.421,0.295,0.451,1.674,0.0,0.108,12.587,0.0,0.001,0.0,9.01,0.639,1.187,14.994,1.935,0.0,0.115,0.009,0.0,0.041,0.0,0.0,-999.0,-999.0,
1961,0.595,0.526,2.482,0.356,0.0,0.0,-999.0,11.005,0.473,0.0,0.639,0.293,0.161,1.669,0.253,4.267,0.0,0.0,0.001,0.063,0.115,3.914,1.463,0.009,0.463,0.228,0.0,0.471,0.109,0.862,1.59,0.0,0.118,2.5,0.0,0.001,0.0,8.672,0.221,0.609,8.597,1.557,0.0,0.15,0.175,0.0,0.07,0.0,0.0,-999.0,-999.0,
1962,1.068,0.298,6.838,0.08,0.002,0.0,-999.0,15.119,0.827,0.0,0.504,0.203,0.117,2.127,0.254,20.839,0.0,0.0,0.001,0.03,0.054,9.243,1.019,0.009,0.335,0.126,0.0,0.471,0.361,0.434,1.345,0.0,0.021,6.986,0.0,0.001,0.0,9.574,0.112,1.428,16.533,1.383,0.0,0.115,0.009,0.2,0.041,0.0,0.0,-999.0,-999.0,
