Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1982,19.814,1.966,17.585,7.484,1.719,13.761,13.025,18.923,17.157,1.448,11.414,9.999,10.415,7.464,10.993,19.637,7.267,9.442,13.407,5.734,6.1,21.056,13.752,1.745,6.862,0.961,7.976,10.118,2.001,6.916,13.563,4.165,5.818,10.292,7.905,7.861,12.547,13.769,5.654,15.934,7.68,1.673,5.239,10.405,10.079,6.806,7.608,1.484,9.626,26.722,12.562,
1983,23.977,3.123,13.458,9.864,1.388,19.936,21.463,22.269,18.919,1.374,10.009,10.494,7.993,6.096,12.813,23.547,13.437,14.556,20.446,5.772,5.783,24.784,10.538,1.449,5.751,0.966,14.076,19.086,1.77,10.041,15.812,2.046,7.92,8.552,7.698,10.777,21.788,15.778,3.674,16.987,7.302,1.197,9.549,13.383,9.627,7.917,6.848,0.662,9.59,6.863,12.093,
1984,15.999,2.745,19.591,3.868,1.447,13.124,11.603,14.971,15.391,1.039,10.275,9.234,8.412,7.733,13.423,18.655,8.447,11.25,15.821,5.31,6.285,18.333,12.548,0.918,6.092,0.801,9.67,13.182,2.612,7.739,15.231,2.38,5.673,8.757,6.916,8.399,13.991,15.293,4.442,16.071,7.223,0.859,6.718,11.901,8.885,8.273,7.548,0.839,11.01,11.146,17.242,
1985,16.778,1.899,14.676,3.919,1.469,8.054,9.963,16.056,13.209,0.836,11.841,12.169,6.846,9.555,10.181,20.837,6.869,8.69,9.008,8.1,7.266,17.698,15.135,1.109,5.18,0.566,7.33,11.092,3.125,5.474,13.672,2.877,7.876,12.645,4.147,7.963,9.326,14.668,2.987,10.633,9.432,0.936,3.802,11.38,6.145,7.822,7.713,0.673,10.782,11.95,17.552,
1986,15.877,1.607,14.22,5.783,1.656,11.08,11.865,15.933,11.907,0.832,9.501,9.495,9.808,8.32,10.475,16.22,8.163,7.272,11.875,6.408,6.498,16.273,11.348,1.79,5.534,0.471,8.697,11.298,3.206,7.846,8.821,3.31,7.981,11.849,6.5,8.495,12.524,11.158,5.409,12.015,10.533,1.068,8.633,7.592,8.211,6.841,6.882,1.148,13.086,12.714,14.075,
1987,15.084,1.869,16.95,4.505,1.497,10.571,8.779,17.122,12.874,0.754,7.757,7.426,7.447,8.849,9.242,20.443,7.293,9.031,12.925,4.536,4.252,16.555,11.229,1.631,5.743,0.85,9.806,11.901,2.004,7.575,13.74,2.867,5.406,12.653,6.06,7.885,9.64,12.892,2.944,11.082,9.113,0.853,6.968,11.766,7.447,6.646,4.869,0.741,11.617,16.468,19.317,
1988,16.27,2.376,14.122,4.083,1.429,10.614,11.044,16.564,12.9,0.806,6.243,8.166,4.551,5.632,11.172,18.301,6.589,8.869,11.485,5.29,4.7,16.522,9.288,0.922,5.307,0.318,9.987,9.381,2.742,6.486,9.557,1.417,5.577,8.651,5.847,6.887,11.434,10.098,3.312,11.862,6.369,0.583,5.794,7.717,8.027,6.02,4.73,0.772,10.869,15.274,19.226,
1989,21.46,1.755,15.458,3.287,1.183,14.014,14.785,14.314,16.421,0.798,7.587,12.268,5.402,7.829,16.784,19.41,7.291,12.956,12.47,4.032,4.235,20.955,7.854,1.079,3.506,0.596,6.981,15.209,1.498,8.773,17.09,2.07,8.236,11.268,5.097,9.324,16.805,15.967,3.337,19.381,7.794,0.587,7.995,13.901,7.194,10.513,4.332,0.822,11.189,24.059,17.428,
1990,17.317,2.274,21.888,3.11,1.593,12.438,9.695,13.116,13.689,0.883,13.752,15.673,9.311,7.203,16.037,20.798,11.942,12.321,11.695,7.604,6.008,20.274,13.897,0.74,3.915,0.479,13.181,12.531,1.995,9.372,13.394,2.566,12.767,11.969,5.752,10.418,14.249,13.973,3.422,18.267,9.65,0.726,10.652,11.83,10.516,9.784,7.626,0.849,11.848,18.446,15.651,
1991,21.523,1.855,20.092,5.489,1.413,11.694,10.318,19.508,18.205,1.122,7.93,8.203,9.143,5.616,11.313,28.547,9.425,8.801,12.041,6.653,8.03,24.109,10.873,1.456,4.581,0.468,10.482,12.715,3.585,6.588,13.331,2.901,4.535,11.462,6.589,6.173,12.543,15.332,4.851,16.893,11.593,0.762,5.166,9.511,8.665,7.636,9.115,1.213,11.339,13.917,10.026,
