Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1928,58.23,89.67,88.1,92.07,87.8,76.87,77.67,83.37,89.97,89.13,-999.0,81.23,75.7,82.77,82.0,84.8,84.17,90.57,77.07,82.83,72.8,75.73,75.9,83.87,90.8,73.13,86.2,75.6,81.93,74.93,80.8,85.43,85.03,76.1,80.87,89.27,76.47,78.87,76.7,88.53,80.57,85.8,93.3,82.2,83.17,74.53,75.17,76.13,80.1,73.53
1929,59.3,90.97,91.3,91.27,87.97,79.43,79.2,83.0,89.37,89.57,-999.0,82.4,78.7,83.47,83.1,88.73,85.73,91.43,78.9,83.1,73.13,76.53,79.37,86.17,91.4,79.83,84.7,82.07,85.77,75.7,81.9,85.43,85.4,76.33,80.8,92.73,78.13,79.63,77.57,88.43,84.67,86.93,94.37,82.5,82.43,74.47,75.73,77.83,80.67,77.87
1930,58.87,92.83,94.53,91.3,88.0,79.33,80.13,85.7,89.5,90.73,-999.0,86.0,77.83,88.13,87.2,90.73,90.23,93.23,79.73,86.47,74.6,80.0,81.3,90.17,94.07,79.77,87.1,82.43,86.47,76.43,83.17,85.83,85.1,78.2,85.67,94.4,77.73,82.23,79.7,89.9,85.9,90.93,94.57,82.6,86.47,76.0,75.77,81.1,84.77,76.97
1931,58.53,91.77,89.67,92.0,89.33,82.0,79.43,84.1,91.57,92.47,-999.0,87.0,80.77,87.77,86.83,90.73,88.23,91.2,78.6,84.23,73.93,80.4,81.03,88.77,90.77,80.47,87.83,82.0,89.2,76.37,82.73,85.8,87.87,78.07,84.57,92.7,79.1,81.27,77.5,91.5,88.4,88.77,93.37,85.83,84.8,75.97,76.4,81.6,83.67,80.6
1932,56.93,91.57,92.0,91.47,87.53,79.57,79.37,84.63,90.77,90.7,-999.0,84.23,76.4,86.57,86.03,90.07,88.07,92.93,78.57,84.9,74.03,79.3,80.9,88.43,92.87,77.63,88.47,81.53,86.5,76.1,83.17,85.17,84.17,76.7,84.3,92.0,76.4,81.1,77.47,90.87,84.83,89.3,93.67,81.77,86.13,74.77,74.23,81.03,83.53,77.77
1933,57.77,90.63,90.73,93.3,88.7,81.4,79.57,83.93,89.83,90.57,-999.0,87.2,80.07,88.67,88.07,92.67,88.03,90.57,78.83,84.27,74.1,81.8,83.4,89.33,91.0,80.97,87.17,84.87,88.63,76.53,82.27,85.87,87.3,79.47,85.6,93.5,78.17,81.83,77.1,90.4,88.83,88.23,94.3,85.43,84.53,76.97,75.63,83.0,82.5,80.3
1934,58.2,91.17,96.2,91.8,86.97,83.07,79.87,84.83,89.97,91.27,-999.0,89.63,79.47,90.73,89.27,97.77,89.57,92.77,78.7,85.43,73.07,80.47,80.2,95.47,92.97,79.17,87.83,82.3,92.13,76.13,82.93,88.83,85.9,78.97,87.27,99.13,77.97,82.5,77.77,91.27,87.57,89.9,97.43,84.5,85.77,76.3,76.07,81.03,84.67,79.4
1935,58.67,90.67,90.67,92.53,88.43,80.8,79.47,83.0,90.33,90.2,-999.0,83.67,78.13,84.27,83.73,90.73,85.7,91.6,78.53,83.73,75.4,77.37,78.3,86.47,91.93,78.1,86.87,79.33,86.67,76.73,82.2,86.17,86.33,77.8,82.23,92.33,77.57,80.47,77.73,89.83,85.1,87.4,93.1,84.37,83.83,76.37,74.5,77.87,81.8,79.03
1936,62.13,92.9,95.67,93.53,88.7,82.23,79.7,84.27,90.1,91.97,-999.0,91.23,79.6,92.33,90.77,97.23,92.4,93.17,78.4,84.97,72.77,80.43,82.7,96.03,93.63,82.73,87.77,87.17,93.03,75.63,82.9,87.37,86.23,78.9,86.7,99.0,78.23,82.33,76.83,91.37,92.37,91.77,95.07,83.9,86.0,75.47,76.0,82.3,85.1,80.7
1937,59.5,91.3,91.1,92.8,88.47,80.7,80.57,83.87,90.37,90.43,-999.0,85.67,77.67,85.8,84.77,92.37,87.2,91.77,79.83,84.5,77.27,79.77,80.6,88.6,91.8,79.1,87.4,82.7,88.77,77.9,83.0,87.2,85.97,79.07,82.63,94.17,76.63,81.17,78.6,90.2,86.33,88.4,95.4,82.9,84.43,77.7,74.37,81.43,82.37,77.37
1938,58.4,90.33,91.47,92.23,87.8,80.2,79.63,84.1,89.97,89.47,-999.0,85.13,77.13,85.37,84.4,91.67,85.97,91.33,78.93,84.6,75.77,78.53,79.63,88.83,91.47,77.53,85.83,81.63,88.27,77.1,82.37,85.9,83.97,79.17,82.87,93.07,78.17,81.3,77.47,89.23,86.7,86.77,93.8,82.77,83.67,77.27,77.3,78.23,81.67,77.47
1939,58.7,89.43,91.13,93.17,88.77,81.27,80.53,84.37,89.63,89.83,-999.0,84.03,77.5,84.8,84.4,92.23,86.7,91.97,79.4,84.33,75.87,78.97,79.47,87.43,91.23,77.17,87.0,81.13,88.03,77.63,82.9,87.0,86.3,79.2,83.03,94.27,77.87,81.33,78.37,90.53,85.4,87.33,94.77,84.0,84.3,77.3,75.53,79.57,82.27,77.8
1940,61.43,88.7,87.43,94.03,89.3,81.6,77.8,82.9,90.17,89.03,-999.0,83.8,81.2,86.03,85.8,90.13,86.33,88.3,77.07,82.73,74.27,77.17,77.73,86.47,88.5,80.63,86.33,81.03,88.1,75.5,80.63,85.93,88.57,76.13,83.07,90.17,80.23,78.8,76.4,89.43,85.53,86.03,91.73,86.67,82.67,74.7,77.43,77.43,81.37,81.07
1941,60.23,90.13,90.47,89.7,85.07,77.33,79.13,82.83,91.0,90.17,-999.0,84.53,75.37,86.6,86.03,88.3,87.9,90.87,78.6,83.4,75.1,79.53,78.87,88.83,91.53,77.2,86.67,80.13,85.17,76.8,81.67,82.63,81.63,78.23,83.57,90.43,75.3,80.33,77.67,89.4,84.2,88.67,91.17,80.2,84.37,76.1,75.47,79.57,82.83,75.87
1942,59.5,89.7,89.63,93.27,88.0,79.2,78.27,83.13,91.17,90.13,-999.0,82.33,77.03,83.97,83.87,88.03,86.67,90.33,77.47,83.37,74.9,77.5,76.07,85.87,90.77,75.33,87.37,76.53,84.53,75.8,81.2,86.27,85.8,76.83,82.53,90.13,76.73,79.4,76.9,90.37,80.67,87.67,92.33,84.0,84.1,75.17,75.47,76.93,81.83,77.1
1943,58.77,93.07,94.77,91.27,85.3,80.37,81.37,86.6,91.2,91.97,-999.0,83.63,75.17,86.77,86.33,92.3,89.37,93.73,80.13,87.2,73.8,79.1,79.03,88.93,94.97,75.73,88.4,78.67,87.27,76.7,84.4,87.0,82.47,78.7,84.4,95.73,74.17,82.37,79.9,91.47,84.33,90.97,95.4,82.03,86.83,75.73,73.23,79.83,84.37,77.47
1944,58.8,91.33,91.97,91.77,84.9,79.2,81.97,85.27,91.03,90.4,-999.0,82.43,74.63,87.1,87.67,88.6,89.6,93.1,80.57,85.87,76.33,80.43,77.37,87.6,92.9,73.6,87.1,77.23,83.8,78.27,84.67,86.27,82.23,79.83,85.9,92.67,74.87,82.5,80.3,90.13,80.77,89.5,94.53,81.73,85.73,77.8,74.9,79.43,84.13,75.23
1945,56.67,90.47,87.93,91.4,87.53,77.5,78.8,83.23,90.2,89.8,-999.0,79.83,76.23,82.43,82.17,86.47,85.27,89.97,77.47,83.07,74.37,75.77,75.03,84.27,90.13,76.13,86.1,76.97,81.5,75.8,81.0,86.43,82.93,76.17,81.63,89.3,77.7,79.17,77.17,89.37,79.8,86.47,93.03,80.73,83.97,75.37,76.37,75.33,81.53,74.1
1946,59.17,87.83,89.47,92.57,87.3,80.73,77.47,81.37,89.5,88.57,-999.0,81.43,77.87,83.63,83.13,91.43,84.33,89.37,76.87,81.73,74.0,77.33,77.5,86.53,88.43,77.13,84.57,79.9,86.03,75.3,80.07,87.37,85.57,75.73,81.13,93.17,76.47,78.2,75.13,88.07,82.83,85.47,94.1,84.23,82.1,74.53,74.4,77.47,80.4,77.93
1947,58.1,89.63,92.03,91.63,85.4,78.5,78.97,83.1,89.1,88.77,-999.0,84.0,75.77,85.27,83.57,89.97,85.23,92.33,78.57,82.97,76.13,79.1,78.77,87.93,91.2,76.87,85.43,79.47,85.33,77.5,81.47,86.63,83.17,78.07,81.83,93.07,73.9,80.03,77.03,88.37,83.87,86.67,94.43,80.77,83.53,77.03,73.27,79.43,81.6,75.57
