Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1919,-999.0,578.0,380.0,442.0,84.0,25.0,20.0,143.0,1000.0,486.0,-999.0,113.0,29.0,125.0,159.0,244.0,271.0,789.0,12.0,153.0,0.0,55.0,25.0,214.0,609.0,10.0,348.0,29.0,142.0,0.0,68.0,80.0,279.0,31.0,110.0,341.0,10.0,67.0,18.0,506.0,73.0,332.0,613.0,38.0,205.0,3.0,4.0,42.0,126.0,19.0
1920,-999.0,407.0,342.0,419.0,74.0,9.0,41.0,127.0,741.0,341.0,-999.0,117.0,26.0,145.0,145.0,210.0,203.0,591.0,20.0,127.0,0.0,61.0,43.0,208.0,471.0,10.0,260.0,30.0,126.0,8.0,79.0,78.0,272.0,49.0,98.0,364.0,8.0,59.0,27.0,364.0,68.0,254.0,576.0,21.0,151.0,8.0,4.0,65.0,99.0,8.0
1921,-999.0,533.0,452.0,594.0,113.0,19.0,78.0,221.0,883.0,476.0,-999.0,117.0,5.0,140.0,178.0,309.0,289.0,701.0,52.0,230.0,8.0,91.0,27.0,256.0,582.0,2.0,394.0,19.0,149.0,12.0,131.0,121.0,397.0,88.0,152.0,495.0,1.0,118.0,61.0,497.0,52.0,365.0,693.0,24.0,266.0,13.0,1.0,59.0,182.0,7.0
1922,-999.0,441.0,358.0,625.0,191.0,24.0,32.0,118.0,848.0,357.0,-999.0,116.0,49.0,134.0,166.0,268.0,234.0,590.0,19.0,143.0,0.0,55.0,40.0,216.0,492.0,22.0,250.0,36.0,172.0,7.0,70.0,118.0,437.0,40.0,115.0,402.0,18.0,74.0,23.0,375.0,99.0,274.0,586.0,58.0,151.0,9.0,10.0,49.0,114.0,21.0
1923,-999.0,371.0,242.0,408.0,127.0,3.0,34.0,113.0,706.0,331.0,-999.0,60.0,46.0,63.0,89.0,185.0,159.0,499.0,19.0,125.0,0.0,26.0,23.0,139.0,399.0,12.0,240.0,29.0,89.0,8.0,65.0,46.0,276.0,41.0,69.0,294.0,20.0,56.0,23.0,344.0,59.0,205.0,502.0,19.0,134.0,7.0,15.0,18.0,93.0,7.0
1924,-999.0,301.0,216.0,556.0,110.0,4.0,3.0,42.0,750.0,200.0,-999.0,36.0,32.0,39.0,50.0,145.0,106.0,564.0,3.0,45.0,0.0,11.0,10.0,109.0,381.0,7.0,121.0,11.0,56.0,0.0,16.0,80.0,326.0,8.0,26.0,287.0,12.0,12.0,6.0,207.0,32.0,141.0,559.0,21.0,58.0,0.0,7.0,7.0,26.0,5.0
1925,-999.0,616.0,446.0,450.0,60.0,15.0,26.0,173.0,936.0,565.0,-999.0,137.0,24.0,171.0,211.0,257.0,334.0,685.0,15.0,195.0,0.0,56.0,35.0,270.0,623.0,6.0,382.0,26.0,156.0,0.0,86.0,77.0,211.0,40.0,146.0,379.0,9.0,92.0,19.0,561.0,97.0,428.0,579.0,18.0,232.0,0.0,6.0,60.0,178.0,11.0
1926,-999.0,516.0,403.0,626.0,96.0,8.0,12.0,96.0,850.0,438.0,-999.0,52.0,4.0,66.0,109.0,188.0,249.0,699.0,6.0,111.0,0.0,17.0,5.0,167.0,567.0,0.0,320.0,3.0,65.0,0.0,39.0,116.0,339.0,19.0,88.0,357.0,5.0,43.0,8.0,452.0,24.0,358.0,696.0,19.0,167.0,0.0,1.0,11.0,139.0,1.0
1927,-999.0,494.0,385.0,563.0,87.0,9.0,22.0,106.0,828.0,403.0,-999.0,124.0,12.0,147.0,173.0,217.0,233.0,691.0,14.0,121.0,0.0,73.0,27.0,233.0,543.0,5.0,259.0,17.0,122.0,0.0,55.0,70.0,321.0,34.0,116.0,376.0,8.0,55.0,19.0,411.0,63.0,281.0,709.0,23.0,149.0,3.0,3.0,52.0,112.0,6.0
1928,-999.0,350.0,265.0,612.0,134.0,9.0,7.0,48.0,826.0,282.0,-999.0,34.0,32.0,36.0,50.0,168.0,108.0,564.0,3.0,51.0,0.0,11.0,4.0,113.0,397.0,6.0,164.0,7.0,67.0,0.0,22.0,64.0,327.0,10.0,34.0,342.0,11.0,15.0,6.0,315.0,27.0,157.0,568.0,39.0,66.0,0.0,7.0,6.0,39.0,6.0
1929,-999.0,328.0,281.0,585.0,138.0,3.0,38.0,109.0,824.0,260.0,-999.0,47.0,8.0,58.0,77.0,157.0,155.0,513.0,22.0,120.0,2.0,28.0,6.0,134.0,378.0,1.0,180.0,4.0,54.0,8.0,72.0,81.0,307.0,52.0,67.0,296.0,11.0,61.0,26.0,280.0,16.0,191.0,556.0,19.0,127.0,9.0,4.0,16.0,87.0,1.0
1930,-999.0,379.0,325.0,459.0,73.0,11.0,71.0,217.0,752.0,345.0,-999.0,96.0,28.0,101.0,111.0,228.0,220.0,528.0,58.0,247.0,10.0,49.0,14.0,203.0,401.0,9.0,307.0,15.0,111.0,14.0,120.0,81.0,258.0,74.0,98.0,399.0,12.0,109.0,78.0,389.0,48.0,256.0,564.0,23.0,261.0,12.0,7.0,34.0,144.0,7.0
1931,-999.0,570.0,493.0,579.0,110.0,41.0,74.0,231.0,905.0,458.0,-999.0,196.0,27.0,193.0,200.0,434.0,326.0,767.0,45.0,240.0,5.0,107.0,72.0,347.0,605.0,12.0,333.0,50.0,241.0,15.0,152.0,138.0,294.0,94.0,156.0,610.0,10.0,130.0,61.0,482.0,141.0,392.0,835.0,38.0,246.0,13.0,5.0,100.0,184.0,23.0
