Year,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1919,-999.0,80.63,74.1,70.9,70.03,57.17,60.93,67.9,84.43,80.27,-999.0,60.13,51.0,65.53,66.97,66.7,71.77,80.47,59.13,68.2,51.0,56.07,48.87,68.37,79.8,47.03,75.07,46.1,58.87,54.87,64.83,66.1,61.27,57.9,65.3,71.73,55.23,62.23,60.63,78.8,52.87,74.1,76.37,58.13,70.83,54.17,54.27,53.8,67.4,48.87
1920,-999.0,76.53,72.73,72.27,68.27,57.9,61.87,67.17,80.77,76.4,-999.0,62.93,51.5,66.37,66.8,67.73,69.4,77.67,60.7,66.97,53.77,58.97,56.5,67.6,76.9,53.5,72.17,56.43,63.73,56.53,65.07,67.43,61.87,58.77,64.9,71.8,55.27,62.03,61.8,75.1,59.97,71.53,77.37,58.6,68.07,56.1,54.57,58.73,65.03,52.0
1921,-999.0,80.0,77.4,76.97,73.5,63.63,61.73,68.53,83.4,79.2,-999.0,61.5,56.43,65.5,65.97,72.77,71.13,82.43,60.13,68.4,52.2,56.0,52.07,69.9,81.3,53.13,75.13,52.27,65.97,55.6,65.23,72.03,68.53,58.27,64.43,78.6,59.3,62.17,61.63,78.1,58.5,74.17,82.1,64.9,70.83,55.27,55.2,54.93,67.33,57.0
1922,-999.0,78.67,76.67,74.53,72.03,60.53,61.87,67.03,81.7,77.43,-999.0,65.23,57.6,68.2,68.3,72.4,72.0,79.93,60.33,67.83,52.43,58.3,57.43,71.03,79.63,57.0,72.53,56.63,67.13,55.97,65.43,68.6,65.37,58.77,66.3,76.6,58.93,63.6,61.17,76.43,62.77,74.0,79.17,62.1,69.37,55.5,56.6,59.03,67.2,56.03
1923,-999.0,75.8,70.67,71.33,72.43,56.0,61.4,65.0,80.27,75.37,-999.0,60.7,56.3,62.8,63.57,65.83,67.97,76.57,60.47,65.17,54.9,56.27,56.67,65.53,76.0,55.8,70.53,57.57,62.03,57.5,63.37,64.53,63.67,57.27,61.8,69.7,59.6,60.17,61.17,73.77,60.83,70.33,74.47,59.27,66.2,56.03,59.07,56.73,64.0,51.93
1924,-999.0,77.47,74.87,76.0,71.37,60.77,60.9,64.7,80.2,74.67,-999.0,62.6,54.5,65.77,65.43,70.43,69.0,81.53,60.33,64.67,54.37,57.37,54.63,69.33,79.57,54.7,70.13,55.53,64.43,56.4,63.13,70.8,64.9,56.83,62.97,75.87,57.63,60.1,60.7,73.3,61.13,71.83,80.2,61.0,66.5,55.67,55.5,56.57,63.63,54.07
1925,36.23,78.6,73.27,71.77,69.03,56.73,58.13,64.8,83.63,78.33,-999.0,57.73,53.67,61.47,61.77,64.97,67.8,78.83,56.9,64.03,49.03,52.17,49.83,65.23,78.0,49.13,71.53,50.0,59.8,52.5,61.27,66.6,62.1,53.8,59.7,71.13,57.47,57.67,58.57,76.8,56.13,71.77,76.07,58.6,66.47,51.47,56.2,52.23,62.6,50.17
1926,37.83,76.53,72.8,76.6,73.6,60.97,59.37,65.63,81.93,76.53,-999.0,57.13,55.13,60.97,62.3,66.67,67.8,79.07,58.53,64.63,52.27,52.07,47.9,64.83,77.4,50.77,72.1,48.43,60.43,54.73,62.1,69.5,66.9,55.4,61.7,72.27,58.77,58.63,60.13,75.8,56.0,70.97,78.97,63.97,66.73,53.07,55.7,50.5,63.67,53.97
1927,27.83,81.23,77.57,75.3,71.57,61.0,63.43,69.23,83.47,80.0,-999.0,63.53,54.63,68.37,69.0,70.93,72.9,82.8,62.7,69.07,55.5,58.63,53.07,71.3,81.73,51.83,73.87,51.8,65.17,58.7,66.4,70.3,65.6,60.17,67.57,77.03,57.63,64.13,63.93,77.93,59.17,75.17,82.2,62.4,70.2,57.5,54.37,56.4,68.5,55.23
1928,33.83,76.23,73.57,74.9,72.33,59.03,60.47,65.73,81.2,75.53,-999.0,60.7,56.33,63.8,64.17,68.5,68.33,78.67,59.23,65.3,51.27,55.13,53.17,67.57,77.13,54.63,70.5,54.77,62.27,55.53,63.47,67.57,65.43,56.93,63.13,73.97,58.9,60.1,60.4,74.63,58.83,70.47,77.43,61.9,65.93,54.43,56.7,54.8,63.43,53.83
