Year,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,AK,HI,PR,VI
1936,93.402,76.225,103.268,66.091,65.833,4.0,-999.0,85.867,87.433,40.481,69.038,70.169,61.933,91.793,88.823,97.587,1.905,13.0,9.153,18.153,31.552,96.2,89.607,40.05,79.741,62.061,8.914,26.718,95.303,12.512,63.919,50.883,45.144,112.681,16.162,24.282,1.0,82.539,69.263,86.141,111.675,65.062,5.463,41.048,21.57,49.069,31.365,21.403,0.0,-999.0,-999.0,
1937,82.563,69.212,91.257,59.622,52.973,9.0,-999.0,84.634,77.199,32.902,43.519,38.885,44.793,80.69,62.006,103.599,20.707,6.0,15.501,13.183,20.575,83.435,67.019,25.713,66.991,66.505,18.511,25.049,89.675,10.686,47.462,28.045,19.774,102.107,17.503,12.309,4.0,64.433,52.491,57.785,129.521,58.442,15.474,21.354,20.632,14.032,27.878,17.305,3.0,-999.0,-999.0,
1938,77.246,62.871,99.647,55.191,41.569,2.0,-999.0,95.82,71.911,34.477,34.316,34.308,34.626,81.958,45.073,96.207,10.619,0.0,7.34,6.859,10.507,88.669,69.33,17.287,59.97,48.68,10.654,15.536,83.667,8.999,45.742,25.628,17.618,107.952,24.08,11.871,3.0,66.205,44.537,53.05,123.277,53.128,12.474,20.635,30.36,13.83,7.302,11.025,0.0,-999.0,-999.0,
1939,57.866,67.604,102.889,67.395,53.244,0.0,-999.0,96.208,73.158,36.513,41.901,36.383,37.159,89.452,60.197,111.652,7.861,0.0,7.707,10.422,18.49,87.143,65.623,27.584,70.375,61.508,10.999,21.369,100.524,11.431,54.538,33.32,27.754,118.039,27.063,19.962,1.0,75.79,53.745,67.314,136.56,59.807,9.959,19.759,29.26,18.595,18.9,18.072,0.0,-999.0,-999.0,
1940,56.176,63.703,59.438,56.0,49.838,3.0,-999.0,81.473,70.698,40.613,39.941,39.14,28.593,63.989,45.114,69.751,5.657,2.0,4.409,10.167,12.086,57.337,44.795,28.661,58.075,69.573,4.271,15.363,87.644,5.311,41.862,27.782,26.959,78.984,22.052,14.394,2.0,59.198,41.682,49.111,96.747,72.705,2.492,16.268,25.445,18.705,11.257,25.031,1.0,-999.0,-999.0,
1941,92.285,53.87,91.148,42.905,34.082,5.0,-999.0,105.806,93.404,26.351,49.976,48.909,36.066,61.175,60.793,105.742,13.825,3.0,14.873,17.32,14.23,95.741,63.039,17.395,51.996,43.594,17.779,25.618,54.824,11.761,66.887,23.353,32.456,68.623,18.169,22.812,8.0,76.119,42.668,84.8,89.18,37.71,10.998,33.099,23.878,27.926,20.645,8.106,0.0,-999.0,-999.0,
1942,70.031,73.723,73.315,55.391,40.549,2.0,-999.0,108.388,66.521,30.572,32.772,27.955,19.03,57.435,46.107,83.919,8.232,2.0,6.384,5.509,5.145,74.458,46.952,14.499,38.825,56.001,6.273,15.178,71.492,4.168,53.365,7.165,18.753,78.471,25.692,8.078,1.0,68.579,17.431,58.203,90.986,61.786,7.493,21.15,27.5,14.12,7.963,7.458,0.0,-999.0,-999.0,
1943,92.009,76.639,93.554,55.744,47.929,5.0,-999.0,101.616,82.331,23.648,42.699,39.453,24.378,73.343,55.719,103.623,5.85,3.0,13.038,5.936,10.389,100.277,55.964,15.385,56.291,53.094,9.238,26.154,94.128,10.22,63.94,10.892,23.555,93.508,15.953,15.994,5.0,69.513,37.217,72.402,109.367,58.762,3.512,28.049,18.813,24.214,15.439,14.592,0.0,-999.0,-999.0,
1944,93.536,73.916,94.201,48.576,41.163,14.0,-999.0,123.476,77.6,24.366,50.233,54.607,19.217,57.093,71.772,100.636,20.322,7.0,23.227,17.435,6.851,92.359,58.76,8.52,38.589,49.722,21.675,34.586,71.239,18.342,57.748,8.121,39.175,84.068,20.558,21.675,9.0,69.878,19.786,70.122,97.703,53.777,21.019,28.375,24.519,28.702,14.914,14.268,0.0,-999.0,-999.0,
1945,83.299,73.121,64.358,62.391,36.52,4.0,-999.0,119.97,69.032,31.9,24.592,20.316,16.917,54.932,37.147,87.901,6.487,2.0,8.944,4.325,8.415,79.166,37.822,17.312,35.209,60.282,8.677,17.882,86.955,6.409,46.805,14.465,23.088,76.85,23.787,16.033,2.0,60.43,25.359,46.288,110.303,48.312,8.513,18.24,23.666,18.468,7.716,8.43,0.0,-999.0,-999.0,
